id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384,Hyde Park - Walk to The University of Chicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,125,3,246,2024-09-12,2.08,1,345,19,R17000015609
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,94,2,544,2024-08-25,2.94,1,314,36,R24000114046
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,174,4,104,2024-09-14,0.82,5,221,30,2209984
12140,Lincoln Park Guest House,46734,Shay And Robert,,Lincoln Park,41.92357,-87.64947,Private room,339,2,16,2024-05-27,0.14,1,162,1,R20000055258
28749,Quirky Bucktown Loft w/ Parking No Parties,27506,Lauri,,Logan Square,41.92137,-87.67933,Entire home/apt,200,2,225,2024-09-09,1.34,1,45,38,R24000113825
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,95,3,122,2024-09-14,0.75,1,243,17,R23000108832
94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.9796,-87.66512,Entire home/apt,115,3,30,2024-09-02,1.14,1,184,13,R22000082956
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,230,32,77,2024-05-05,0.71,23,359,4,2209272
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91289,-87.63864,Entire home/apt,293,32,86,2022-08-11,0.76,23,359,0,2083778
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,219,2,670,2024-09-01,4.23,1,220,44,R23000108826
207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,,Pullman,41.68843,-87.60712,Entire home/apt,100,32,319,2024-09-13,2.01,3,306,6,R21000073121
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,41.68954,-87.60786,Entire home/apt,50,32,48,2024-08-25,0.30,3,145,2,R21000073121
220333,Pullman School House Apartment - monthly rental,1019125,Jb,,Pullman,41.68912,-87.60725,Entire home/apt,100,32,6,2024-07-03,0.04,3,289,2,
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92589,-87.69737,Private room,91,2,30,2024-08-03,0.20,1,105,6,R20000054219
233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,,Irving Park,41.95758,-87.7271,Private room,65,2,186,2024-09-10,1.18,2,74,21,R22000094076
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.85923,-87.62198,Entire home/apt,170,180,35,2018-01-15,0.22,1,358,0,City registration pending
264547,Steps From the Best Chicago Offers,1387948,Dominic,,Near West Side,41.88413,-87.64315,Entire home/apt,191,32,63,2021-10-17,0.42,1,362,0,City registration pending
289689,"28 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97806,-87.65676,Private room,32,32,70,2024-08-24,0.45,1,307,4,R21000062931
345075,"Spacious, Vintage Hyde Park Apt.3 COVID VAX PLS",1746524,Patricia,,Kenwood,41.80774,-87.59459,Private room,115,2,289,2024-07-14,1.90,1,342,10,R22000076583
350347,"Urban Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Jay,,Lake View,41.94107,-87.65492,Entire home/apt,151,3,765,2024-09-03,5.01,1,297,60,R22000081479
372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,,West Town,41.89629,-87.65704,Entire home/apt,259,2,301,2024-09-08,2.09,2,336,16,2510875
404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,,West Town,41.88947,-87.66933,Entire home/apt,136,21,220,2024-09-01,1.48,1,77,4,R23000098892
464581,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,41.92518,-87.69549,Entire home/apt,67,32,647,2024-08-20,4.40,1,181,2,R17000017731
507517,Private Lincoln Square Garden Apt,2501182,Nate,,Lincoln Square,41.96678,-87.6973,Entire home/apt,101,2,418,2024-09-12,2.81,1,179,25,R23000111667
542067,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93142,-87.69989,Entire home/apt,150,32,305,2024-08-18,2.05,1,303,5,R24000119110
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,,Lincoln Square,41.96528,-87.6831,Private room,45,32,54,2024-08-31,0.37,2,157,2,R17000015627
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99688,-87.66449,Private room,70,3,136,2024-09-02,0.93,2,342,17,R22000091618
640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,,Lake View,41.94256,-87.67171,Entire home/apt,265,4,97,2024-09-03,1.27,1,33,8,R23000104039
651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.99178,-87.75747,Private room,82,2,117,2024-09-14,0.83,2,346,17,R21000075759
662034,Edgebrook bdr by golf course,2824576,Jeff,,Forest Glen,41.99405,-87.75746,Private room,70,2,97,2024-09-03,0.72,2,337,7,R23000095494
681842,Bedrm/Bath - Swanky Northside Condo,3472696,Roxane,,West Ridge,41.99373,-87.68279,Private room,63,32,30,2024-06-20,0.22,2,279,2,R21000061018
697634,"2 BD Condo by downtown,park,lake",3574415,Marv,,Near North Side,41.90437,-87.6335,Entire home/apt,97,32,160,2024-05-26,1.17,2,208,2,City registration pending
726376,"Spacious Studio, Amazing Location!",2658212,James,,Lake View,41.93903,-87.65196,Entire home/apt,128,2,843,2024-09-15,5.82,3,83,71,R22000080211
739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,,Lincoln Square,41.9765,-87.68144,Entire home/apt,162,7,217,2024-06-27,1.60,1,237,3,R24000116754
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,,Logan Square,41.93115,-87.71836,Entire home/apt,69,32,29,2024-08-10,0.21,4,320,4,City registration pending
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla And Enki,,Lincoln Park,41.92218,-87.66079,Private room,85,2,155,2024-09-12,1.14,1,167,12,R21000072699
903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,,Logan Square,41.92708,-87.71212,Private room,110,32,144,2020-02-16,1.05,1,228,0,R17000015433
929914,Restored  Apartment in Historic Victorian Home,5007980,Lynn,,Lincoln Park,41.912410736083984,-87.63896942138672,Entire home/apt,,3,498,2024-09-02,3.57,1,10,42,R21000073898
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88538,-87.69801,Private room,136,32,22,2018-11-02,0.16,1,362,0,R17000015264
960326,The Penthouse Gallery at OHC - No Cleaning Fee!,5228189,Matthew,,West Town,41.89602,-87.65659,Entire home/apt,296,2,450,2024-09-02,3.27,21,331,41,2457501
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,,Near West Side,41.86801,-87.67877,Entire home/apt,133,32,41,2023-09-01,0.29,1,56,0,city registration pending
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,,Rogers Park,42.00588,-87.66853,Private room,89,2,333,2024-09-15,2.39,4,320,30,R17000015436
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.00477,-87.66842,Private room,79,2,367,2024-09-14,2.65,4,306,36,R17000015436
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00378,-87.66807,Private room,79,2,334,2024-09-15,2.40,4,0,28,R17000015436
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00456,-87.67058,Entire home/apt,179,2,284,2024-09-14,2.07,4,316,28,R17000015436
